addressDetailEn,addressDetailTh,addressEn,addressTh,branchNameEn,branchNameTh,districtEn,districtTh,faxExt,faxTh,latitude,longtitude,provinceNameEn,provinceNameTh,subDistrictEn,subDistrictTh,telExt,telTh,timeEn,timeTh,timeWeekendEn,timeWeekendTh,workingHourEn,workingHourTh,workingHourWeekendEn,workingHourWeekendTh,zipCode,code,mobile,branchType
,16/41-42 ถนนเลียงเมืองสงเปลือย,,16/41-42 ถนนเลียงเมืองสงเปลือย ตำบลกาฬสินธุ์ อำเภอเมืองกาฬสินธุ์ จังหวัดกาฬสินธุ์ 46000,,กาฬสินธุ์ 2,,เมืองกาฬสินธ์,,043-602-209,16.424222,103.504306,,กาฬสินธุ์,,กาฬสินธ์,,043-602-208,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-440,095-367-8333,SOMWANG
,175 ถนนบำรุงราษฎร์,,175 ถนนบำรุงราษฎร์ ตำบลในเมือง อำเภอเมือง จังหวัดกำแพงเพชร 62000,,กำแพงเพชร,,กำแพงเพชร,,055 712 334,16.471721,99.533457,,กำแพงเพชร,,ในเมือง,,055 712 335,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-012,084-826-5000,SOMWANG
,78/1 หมู่ที่ 13,,78/1 หมู่ที่ 13 ตำบลเมืองเพีย อำเภอกุดจับ จังหวัดอุดรธานี 41250,,กุดจับ (อุดรธานี),,กุดจับ,,042-217-502,17.421173,102.565131,,อุดรธานี,,เมืองเพีย,,042-217-501,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-298,091-889-6622,SOMWANG
,111/1-2 หมู่ที่ 1,,111/1-2 หมู่ที่ 1 ตำบลกุมภวาปี อำเภอกุมภวาปี จังหวัดอุดรธานี 41110,,กุมภวาปี,,กุมภวาปี,,042-334-638,17.110928,103.012371,,อุดรธานี,,กุมภวาปี,,042-334-637,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-125,090-990-2000,SOMWANG
,"5, 7 ถนนโชติวิทยะกุล 3",,"5, 7 ถนนโชติวิทยะกุล 3 ตำบลหาดใหญ่ อำเภอหาดใหญ่ จังหวัดสงขลา 90110",,ขนส่งหาดใหญ่,,หาดใหญ่,,074-235-221,6.993222,100.485333,,สงขลา,,หาดใหญ่,,074-235-220,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-442,095-367-8666,SOMWANG
,555/14 หมู่ที่ 13,,555/14 หมู่ที่ 13 ตำบลในเมือง อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000,,ขอนแก่น,,ขอนแก่น,,043 245 270,16.448567,102.841496,,ขอนแก่น,,ในเมือง,,043 245 240,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-021,080-243-5000,SOMWANG
,502 หมู่ที่ 1,,502 หมู่ที่ 1 ตำบลขามสะแกแสง อำเภอขามสะแกแสง จังหวัดนครราชสีมา 30290,,ขามสะแกแสง (นครราชสีมา),,ขามสะแกแสง,,044-383-014,15.332715,102.172249,,นครราชสีมา,,ขามสะแกแสง,,044-383-013,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-468,095-367-2277,SOMWANG
,129/1-2 หมู่ที่ 6,,129/1-2 หมู่ที่ 6 ตำบลห้วยเหนือ อำเภอขุขันธ์ จังหวัดศรีสะเกษ 33140,,ขุขันธ์,,ขุขันธ์,,045-671-783,14.718685,104.198892,,ศรีสะเกษ,,ห้วยเหนือ,,045-671-782,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-191,063-901-0440,SOMWANG
,"283/4, 283/5 หมู่ที่ 4",,"283/4, 283/5 หมู่ที่ 4 ตำบลสิ อำเภอขุนหาญ จังหวัดศรีสะเกษ 33150",,ขุนหาญ (ศรีสะเกษ),,ขุนหาญ,,045-826-173,14.627226,104.421765,,ศรีสะเกษ,,สิ,,045-826-172,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-300,091-889-6611,SOMWANG
,934-935 หมู่ที่ 4,,934-935 หมู่ที่ 4 ตำบลแชะ อำเภอครบุรี จังหวัดนครราชสีมา 30250,,ครบุรี,,ครบุรี,,044-445-271,14.525521,102.244199,,นครราชสีมา,,แชะ,,044-445-270,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-193,083-099-8448,SOMWANG
,411/4 หมู่ที่ 1,,411/4 หมู่ที่ 1 ตำบลตาสิทธิ์ อำเภอปลวกแดง จังหวัดระยอง 21140,,คลองกรำ (หน้าแอลจี),,ปลวกแดง,,038-036-019,13.023255,101.201443,,ระยอง,,ตาสิทธิ์,,038-036-018,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-372,095-364-1333,SOMWANG
,71 หมู่ที่ 2,,71 หมู่ที่ 2 ตำบลคลองท่อมใต้ อำเภอคลองท่อม จังหวัดกระบี่ 81120,,คลองท่อม (กระบี่),,คลองท่อม,,075-656-431,7.937716,99.144357,,กระบี่,,คลองท่อมใต้,,075-656-427,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-245,063-905-2000,SOMWANG
,"121, 121/1 หมู่ที่ 7",,"121, 121/1 หมู่ที่ 7 ตำบลคลองสอง อำเภอคลองหลวง จังหวัดปทุมธานี 12120",,คลองหลวง,,คลองหลวง,,02-147-4808,14.065667,100.640361,,ปทุมธานี,,คลองสอง,,02-147-4807,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-425,095-367-7555,SOMWANG
,1236 ถนนพระรามที่4,,1236 ถนนพระรามที่4 แขวงคลองเตย เขตคลองเตย จังหวัดกรุงเทพมหานคร 10110,,คลองเตย,,คลองเตย,,02-249-7394,13.721042,100.556428,,กรุงเทพมหานคร,,คลองเตย,,02-249-7395,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-121,091-773-5000,SOMWANG
,"201 ,202 หมู่ที่ 4",,"201 ,202 หมู่ที่ 4 ตำบลคลองแห อำเภอหาดใหญ่ จังหวัดสงขลา 90110",,คลองแห (สงขลา),,หาดใหญ่,,074-300-161,7.030377,100.468871,,สงขลา,,คลองแห,,074-300-160,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-253,063-905-3777,SOMWANG
,183/4 หมู่ที่ 5,,183/4 หมู่ที่ 5 ตำบลน้ำเที่ยง อำเภอคำชะอี จังหวัดมุกดาหาร 49110,,คำชะอี (มุกดาหาร),,คำชะอี,,042-620-945,16.583512,104.423362,,มุกดาหาร,,น้ำเที่ยง,,042-620-944,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-464,095-365-9797,SOMWANG
,323 หมู่ที่ 11,,323 หมู่ที่ 11 ตำบลคำตากล้า อำเภอคำตากล้า จังหวัดสกลนคร 47250,,คำตากล้า (สกลนคร),,คำตากล้า,,042-796-019,17.857031,103.765157,,สกลนคร,,คำตากล้า,,042-796-018,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-546,091-772-5115,SOMWANG
,116-117 หมู่ที่ 2,,116-117 หมู่ที่ 2 ตำบลลุมพุก อำเภอคำเขื่อนแก้ว จังหวัดยโสธร 35110,,คำเขื่อนแก้ว (ยโสธร),,คำเขื่อนแก้ว,,045-756-645,15.654888,104.308354,,ยโสธร,,ลุมพุก,,045-756-644,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-455,095-367-9555,SOMWANG
,277/39 หมู่ที่ 7,,277/39 หมู่ที่ 7 ตำบลในเมือง อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000,,คำไฮ (ขอนแก่น),,เมืองขอนแก่น,,021-474-808,16.433806,102.811583,,ขอนแก่น,,ในเมือง,,021-474-807,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-422,095-367-7000,SOMWANG
,382 หมู่ที่ 8,,382 หมู่ที่ 8 ตำบลคุระ อำเภอคุระบุรี จังหวัดพังงา 82150,,คุระบุรี (พังงา),,คุระบุรี,,076-490-552,9.194401,98.410578,,พังงา,,คุระ,,076-490-551,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-554,091-770-5995,SOMWANG
,198/1 หมู่ที่ 6,,198/1 หมู่ที่ 6 ตำบลคูเมือง อำเภอคูเมือง จังหวัดบุรีรัมย์ 31190,,คูเมือง (บุรีรัมย์),,คูเมือง,,044-699-049,15.273773,103.000214,,บุรีรัมย์,,คูเมือง,,044-699-026,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-509,063-904-9119,SOMWANG
,195 หมู่ที่ 9,,195 หมู่ที่ 9 ตำบลข่วงเปา อำเภอจอมทอง จังหวัดเชียงใหม่ 50160,,จอมทอง (เชียงใหม่),,จอมทอง,,053-106-363,18.430149,98.682765,,เชียงใหม่,,ข่วงเปา,,053-106-362,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-344,063-905-8333,SOMWANG
,288/1 หมู่ที่ 1,,288/1 หมู่ที่ 1 ตำบลจอมบึง อำเภอจอมบึง จังหวัดราชบุรี 70150,,จอมบึง (ราชบุรี),,จอมบึง,,032-720-555,13.621222,99.600957,,ราชบุรี,,จอมบึง,,032-720-222,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-369,095-364-1222,SOMWANG
,85 หมู่ที่ 4,,85 หมู่ที่ 4 ตำบลจอมพระ อำเภอจอมพระ จังหวัดสุรินทร์ 32180,,จอมพระ (สุรินทร์),,จอมพระ,,044-581-321,15.106333,103.596667,,สุรินทร์,,จอมพระ,,044-581-320,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-431,095-365-3311,SOMWANG
,"72/5, 72/6 หมู่ที่ 2 ถนนจะนะ-นาทวี",,"72/5, 72/6 หมู่ที่ 2 ถนนจะนะ-นาทวี ตำบลบ้านนา อำเภอจะนะ จังหวัดสงขลา 90130",,จะนะ (สงขลา),,จะนะ,,074-207-278,6.912438,100.73467,,สงขลา,,บ้านนา,,074-207-277,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-338,063-905-7000,SOMWANG
,58 หมู่ที่ 1 ถนนเพชรมาตุคลา,,58 หมู่ที่ 1 ถนนเพชรมาตุคลา ตำบลจักราช อำเภอจักราช จังหวัดนครราชสีมา 30230,,จักราช (นครราชสีมา),,จักราช,,044-399-110,15.017014,102.410637,,นครราชสีมา,,จักราช,,044-399-100,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-549,091-772-2112,SOMWANG
,555/8 หมู่ที่ 1,,555/8 หมู่ที่ 1 ตำบลบ้านกอก อำเภอจัตุรัส จังหวัดชัยภูมิ 36130,,จัตุรัส (ชัยภูมิ),,จัตุรัส,,044-851-289,15.567126,101.851271,,ชัยภูมิ,,บ้านกอก,,044-851-288,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-379,095-364-2200,SOMWANG
,449/7 หมู่ที่ 3,,449/7 หมู่ที่ 3 ตำบลจันดี อำเภอฉวาง จังหวัดนครศรีธรรมราช 80250,,จันดี (นครศรีธรรมราช),,ฉวาง,,075-355-290,8.384473,99.542949,,นครศรีธรรมราช,,จันดี,,075-355-250,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-331,063-905-5556,SOMWANG
,30/26 หมู่ที่ 7,,30/26 หมู่ที่ 7 ตำบลจันทนิมิต อำเภอเมืองจันทบุรี จังหวัดจันทบุรี 22000,,จันทบุรี,,เมืองจันทบุรี,,039 301 883,12.601654,102.117933,,จันทบุรี,,จันทนิมิต,,039 301 882,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-043,080-923-5000,SOMWANG
,32 ถนนจุติอนุสรณ์,,32 ถนนจุติอนุสรณ์ ตำบลหาดใหญ่ อำเภอหาดใหญ่ จังหวัดสงขลา 90110,,จุติอนุสรณ์ (หาดใหญ่),,หาดใหญ่,,074-209-214,7.013528,100.473194,,สงขลา,,หาดใหญ่,,074-209-213,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-574,091-772-5445,SOMWANG
,17/13 หมู่ที่ 8,,17/13 หมู่ที่ 8 ตำบลฉลอง อำเภอเมืองภูเก็ต จังหวัดภูเก็ต 83130,,ฉลอง(ภูเก็ต),,เมืองภูเก็ต,,076-383-013,7.82535,98.342755,,ภูเก็ต,,ฉลอง,,076-383-012,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-147,063-901-0400,SOMWANG
,86/19-20 ถนนมหาจักรพรรดิ์,,86/19-20 ถนนมหาจักรพรรดิ์ ตำบลหน้าเมือง อำเภอเมืองฉะเชิงเทรา จังหวัดฉะเชิงเทรา 24000,,ฉะเชิงเทรา,,ฉะเชิงเทรา,,038-514-150,13.693404,101.068075,,ฉะเชิงเทรา,,หน้าเมือง,,038 514 149,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-004,084-722-5050,SOMWANG
,"1090, 1091 หมู่ที่ 4 ถนนชมฐีระเวช",,"1090, 1091 หมู่ที่ 4 ถนนชมฐีระเวช ตำบลชนแดน อำเภอชนแดน จังหวัดเพชรบูรณ์ 67150",,ชนแดน (เพชรบูรณ์),,ชนแดน,,056-761-084,16.18626,100.853197,,เพชรบูรณ์,,ชนแดน,,056-761-083,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-383,095-364-2266,SOMWANG
,19/6 ถนนราษฎร์พลี 1,,19/6 ถนนราษฎร์พลี 1 ตำบลชะอำ อำเภอชะอำ จังหวัดเพชรบุรี 76120,,ชะอำ (เพชรบุรี),,ชะอำ,,032-409-582,12.795899,99.967723,,เพชรบุรี,,ชะอำ,,032-409-581,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-388,088-980-1222,SOMWANG
,12/3 หมู่ที่ 1,,12/3 หมู่ที่ 1 ตำบลป่าหวาย อำเภอสวนผึ้ง จังหวัดราชบุรี 70180,,ชัฏป่าหวาย (ราชบุรี),,สวนผึ้ง,,032-720-619,13.547472,99.442306,,ราชบุรี,,ป่าหวาย,,032-720-655,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-559,091-770-8008,SOMWANG
,53/5-6 ถนนวงษ์โต,,53/5-6 ถนนวงษ์โต ตำบลในเมือง อำเภอเมือง จังหวัดชัยนาท 17000,,ชัยนาท,,เมือง,,056-412-685,15.18621,100.126477,,ชัยนาท,,ในเมือง,,056 412 686,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-066,082-854-8000,SOMWANG
,28/13 หมู่ที่ 3,,28/13 หมู่ที่ 3 ตำบลสองแพรก อำเภอชัยบุรี จังหวัดสุราษฎร์ธานี 84350,,ชัยบุรี (สุราษฎร์ธานี),,ชัยบุรี,,077-257-132,8.473992,99.082135,,สุราษฎร์ธานี,,สองแพรก,,077-257-131,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-609,063-748-0110,SOMWANG
,290/10-11 หมู่ 6,,290/10-11 หมู่ 6 ตำบลในเมือง อำเภอเมือง จังหวัดชัยภูมิ 36000,,ชัยภูมิ,,เมือง,,044 813 040,15.790077,102.029119,,ชัยภูมิ,,ในเมือง,,044 813 044,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-038,063-906-7000,SOMWANG
,288/58 หมู่ที่ 11,,288/58 หมู่ที่ 11 ตำบลหนองขาม อำเภอศรีราชา จังหวัดชลบุรี 20230,,ชากกระปอก,,ศรีราชา,,038-109-428,13.088975,100.94775,,ชลบุรี,,หนองขาม,,038-109-427,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-480,095-367-3232,SOMWANG
,31/159 ซอยงามวงศ์วาน 47 แยก 10 (ชินเขต 1),,31/159 ซอยงามวงศ์วาน 47 แยก 10 (ชินเขต 1) แขวงทุ่งสองห้อง เขตหลักสี่ จังหวัดกรุงเทพฯ 10210,,ชินเขต (ซอยงามวงศ์วาน 47),,หลักสี่,,02-591-9116,13.860741,100.556326,,กรุงเทพฯ,,ทุ่งสองห้อง,,02-591-9115,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-306,091-889-6789,SOMWANG
,188/34-35 ถนนศาลาแดง,,188/34-35 ถนนศาลาแดง ตำบลท่าตะเภา อำเภอเมืองชุมพร จังหวัดชุมพร 86000,,ชุมพร,,ชุมพร,,077-502-983,10.499507,99.177066,,ชุมพร,,ท่าตะเภา,,077 502 982,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-003,087-051-5050,SOMWANG
,10/1 หมู่ที่ 11,,10/1 หมู่ที่ 11 ตำบลชุมพวง อำเภอชุมพวง จังหวัดนครราชสีมา 30270,,ชุมพวง (นครราชสีมา),,ชุมพวง,,044-964-026,15.350361,102.742528,,นครราชสีมา,,ชุมพวง,,044-964-025,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-429,095-365-3322,SOMWANG
,2054 หมู่ 1,,2014-2016 หมู่ที่ 1 ตำบลชุมแพ อำเภอชุมแพ จังหวัดขอนแก่น 40130,,ชุมแพ,,ชุมแพ,,043 313 182,16.543868,102.101705,,ขอนแก่น,,ชุมแพ,,043 313 181,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-022,080-239-5000,SOMWANG
,"55/2, 55/3 หมู่ที่ 4",,"55/2, 55/3 หมู่ที่ 4 ตำบลชุมแพ อำเภอชุมแพ จังหวัดขอนแก่น 40130",,ชุมแพ 2,,ชุมแพ,,043-306-783,16.526471,102.110904,,ขอนแก่น,,ชุมแพ,,043-306-782,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-371,095-364-1357,SOMWANG
,123/6 ถนนแสงราษฎร์ใต้,,123/6 ถนนแสงราษฎร์ใต้ ตำบลชุมแสง อำเภอชุมแสง จังหวัดนครสวรรค์ 60120,,ชุมแสง (นครสวรรค์),,ชุมแสง,,056-282-213,15.888365,100.304405,,นครสวรรค์,,ชุมแสง,,056-282-212,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-333,063-905-6111,SOMWANG
,211/17 ถนนช้างคลาน,,211/17 ถนนช้างคลาน ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 50100,,ช้างคลาน (เชียงใหม่),,เมืองเชียงใหม่,,053-283-319,18.773472,98.998906,,เชียงใหม่,,ช้างคลาน,,053-283-318,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-263,091-889-4222,SOMWANG
,"8/53 ,8/54 ซอยประชาอุทิศ 90",,"8/53 ,8/54 ซอยประชาอุทิศ 90 แขวงทุ่งครุ เขตทุ่งครุ จังหวัดกรุงเทพฯ 10140",,ซอยประชาอุทิศ 90,,ทุ่งครุ,,02-408-4805,13.610486,100.509471,,กรุงเทพมหานคร,,ทุ่งครุ,,02-408-4804,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-266,091-889-4333,SOMWANG
,"154, 154/1 ซอยพัฒนาการ20",,"154, 154/1 ซอยพัฒนาการ20 แขวงสวนหลวง เขตสวนหลวง จังหวัดกรุงเทพฯ 10250",,ซอยพัฒนาการ 20,,สวนหลวง,,02-318-3788,13.732977,100.60739,,กรุงเทพมหานคร,,สวนหลวง,,02-318-3787,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-569,091-770-8338,SOMWANG
,251 ซอยลาดพร้าว122 (มหาดไทย 1),,251 ซอยลาดพร้าว122 (มหาดไทย 1) แขวงพลับพลา เขตวังทองหลาง จังหวัดกรุงเทพฯ 10310,,ซอยมหาดไทย,,วังทองหลาง,,02-542-2060,13.770704,100.622562,,กรุงเทพมหานคร,,พลับพลา,,02-542-2059,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-297,091-889-6555,SOMWANG
